实体名称,实体类型,来源,投票数,置信度
《官方保密法》,Book,rule,2,1.0
《形态发生的化学基础》,Book,rule,2,1.0
《模仿游戏》,Book,rule,3,1.0
《自然》,Book,rule,2,1.0
《艾伦·图灵选集》,Book,rule,2,1.0
《解码纳粹秘密》,Book,rule,2,1.0
《计算机器和智能》,Book,rule,2,1.0
人工智能,Concept,crf,6,1.0
图灵奖,Concept,crf,4,1.0
图灵测试,Concept,crf+rule,10,1.0
计算机科学,Concept,crf,6,1.0
1948年奥林匹克运动会,Event,spacy,3,1.0
奥运会,Event,spacy,6,1.0
第二次世界大战,Event,crf+spacy,13,1.0
伦敦,Location,crf+spacy,10,1.0
华沙,Location,spacy,3,1.0
南安普顿,Location,spacy,3,1.0
印度,Location,spacy,12,1.0
吉尔福德,Location,spacy,3,1.0
哥德尔,Location,spacy,3,1.0
多塞特郡,Location,spacy,3,1.0
大西洋,Location,spacy,3,1.0
德国,Location,crf+spacy,34,1.0
欧洲,Location,spacy,3,1.0
法国,Location,spacy,3,1.0
波兰,Location,spacy,9,1.0
美国,Location,crf,6,1.0
美国新墨西哥州,Location,spacy,3,1.0
英国,Location,crf+spacy,68,1.0
诺克斯,Location,spacy,3,1.0
恩尼格玛密码机,Machine,crf+spacy,13,0.769
GCHQ,Organization,crf+spacy,9,0.667
NVIDIA,Organization,spacy,6,1.0
上议院,Organization,spacy,3,1.0
中央研究院,Organization,spacy,3,1.0
剑桥大学,Organization,crf+spacy,8,1.0
台大,Organization,spacy,3,1.0
国家实验室,Organization,spacy,3,1.0
国家物理实验室,Organization,crf+spacy,5,1.0
国王学院,Organization,crf,4,1.0
德国海军,Organization,spacy,3,1.0
普林斯顿大学,Organization,crf+spacy,5,1.0
曼彻斯特大学,Organization,crf,2,1.0
每日电讯报,Organization,rule+spacy,5,1.0
皇家学会,Organization,spacy,3,1.0
美国国会,Organization,spacy,3,1.0
英国司法部,Organization,spacy,3,1.0
英国政府,Organization,crf,8,1.0
英国皇家海军,Organization,spacy,3,1.0
计算机协会,Organization,crf+spacy,5,1.0
马尔伯勒学院,Organization,spacy,3,1.0
Jane Eliza,Person,spacy,3,1.0
Julius,Person,spacy,3,1.0
Ronald Lewin,Person,spacy,3,1.0
乔治,Person,spacy,3,1.0
伊丽莎白,Person,spacy,3,1.0
冯·诺依曼,Person,crf+spacy,5,1.0
史蒂夫·乔布斯,Person,spacy,3,1.0
史蒂芬·弗莱,Person,spacy,3,1.0
哈里·欣斯利,Person,spacy,3,1.0
帕丁顿,Person,spacy,3,1.0
戈登·布朗,Person,spacy,3,1.0
本尼迪克特·康伯巴奇,Person,spacy,3,1.0
朱利斯·麦席森·图灵,Person,spacy,3,1.0
汤姆·理查兹,Person,spacy,3,1.0
沃尔顿,Person,spacy,3,1.0
温·诺克斯,Person,spacy,3,1.0
爱因斯坦,Person,spacy,6,1.0
艾伦,Person,spacy,6,1.0
艾伦·图灵,Person,crf+spacy,45,1.0
艾伦·麦席森·图灵,Person,spacy,3,1.0
谢尔本,Person,spacy,3,1.0
阿尔伯特·爱因斯坦,Person,crf+spacy,5,1.0
阿隆佐·邱奇,Person,crf+spacy,5,1.0
