event_id,event_type,trigger,subject,time,location,object,participants,cause,result,previous_event,next_event,source,confidence,evidence_sentence,review_flag
E0001,教育事件,考入,艾伦·图灵,1926年,多塞特郡,,,,,,E0002,auto_event_rule,0.91,1926年，他十三岁的时候考入在多塞特郡的舍伯恩学校,否
E0002,教育事件,考入,艾伦·图灵,1931年,剑桥大学国王学院,剑桥大学国王学院,剑桥大学；剑桥,,,E0001,E0003,auto_event_rule+relation,0.98,1931年，图灵考入剑桥大学国王学院攻读本科，并获得了数学一等荣誉,否
E0003,教育事件,毕业,艾伦·图灵,1934年,剑桥大学国王学院,剑桥大学国王学院,,,,E0002,E0004,auto_event_rule+relation,0.92,1934年他以优异成绩毕业,否
E0004,获奖荣誉事件,被选为,艾伦·图灵,1935年,,,,证明中心极限定理的论文,,E0003,E0005,auto_event_rule,0.86,1935年，22岁的他凭借证明中心极限定理的论文被选为国王学院研究员,否
E0005,教育事件,学习,艾伦·图灵,1938年,普林斯顿大学,普林斯顿大学,Jane Eliza,,,E0004,E0006,auto_event_rule,0.94,1936年9月到1938年7月间，图灵大部分时间都在普林斯顿大学的教堂下学习，第二年被评选为简·伊丽莎·宝洁奖学金客座教授（Jane Eliza Procter Visiting Fellow）,否
E0006,任职事件,兼职工作,艾伦·图灵,1938年,英国密码破译组织政府密码和密码学校,英国密码破译组织政府密码和密码学校,,,,E0005,E0007,auto_event_rule,0.92,从1938年9月起，图灵在英国密码破译组织政府密码和密码学校(GC&CS)兼职工作,否
E0007,密码破译事件,解密,艾伦·图灵,1939年,法国,恩尼格玛密码机,,,,E0006,E0008,auto_event_rule,0.94,1939年7月，波兰密码局在华沙附近的会议上向英国和法国提供了恩尼格玛密码机机器的详细信息以及他们解密恩尼格玛密码机机器信息的方法,否
E0008,获奖荣誉事件,授予,艾伦·图灵,1946年,,,,,,E0007,E0009,auto_event_rule,0.86,图灵被授予1946年大英帝国勋章,否
E0009,任职事件,负责,艾伦·图灵,1948年,国家物理实验室,国家物理实验室,,,,E0008,E0010,auto_event_rule+relation,0.96,1945年到1948年，图灵在国家物理实验室负责自动计算引擎（ACE）的研究工作,否
E0010,任职事件,副主任,艾伦·图灵,1949年,曼彻斯特大学计算机实验室,曼彻斯特大学计算机实验室,,,,E0009,E0011,auto_event_rule,0.92,1949年，他成为曼彻斯特大学计算机实验室的副主任，负责最早的真正的计算机——曼彻斯特一号的软件工作,否
E0011,获奖荣誉事件,被选为,艾伦·图灵,1951年,皇家学会,皇家学会,,,,E0010,E0012,auto_event_rule,0.92,他在1951年还被选为皇家学会（FRS）的成员,否
E0012,发表事件,发表,艾伦·图灵,1952年,,《形态发生的化学基础》,,,,E0011,E0013,auto_event_rule+relation,0.94,他在1952年发表了一篇论文《形态发生的化学基础》（英语：The Chemical Basis of Morphogenesis）,否
E0013,死亡事件,死亡,艾伦·图灵,1954年,,,,食用浸过氰化物溶液的苹果而,,E0012,E0014,auto_event_rule,0.9,1954年，图灵因食用浸过氰化物溶液的苹果而死亡,否
E0014,获奖荣誉事件,颁发,计算机协会,1966年,计算机协会,计算机协会,艾伦·图灵,,,E0013,E0015,auto_event_rule,0.92,自1966年以来，图灵奖每年由计算机协会颁发给计算机界，为其提供技术或理论贡献,否
E0015,法律迫害事件,赦免,英国司法部,2013年,英国,艾伦·图灵,,,,E0014,,auto_event_rule,0.9,2013年12月24日，英国司法部宣布英国女王伊丽莎白二世赦免1952年因同性恋行为被定罪的艾伦·图灵，不过有抗议者指出应将此赦免令范围扩大到所有和图灵同时代且受到同样待遇的同性恋者,否
E0016,密码破译事件,破译,艾伦·图灵,,德国,恩尼格玛密码机,,,使得军情六处对德国的军事指挥和计划了如指掌,,,auto_event_rule,0.9,两年后他的小组成功破译了德国的密码系统恩尼格玛密码机，从而使得军情六处对德国的军事指挥和计划了如指掌,否
E0017,密码破译事件,破译,艾伦·图灵,,德国,恩尼格玛密码机,温·诺克斯,,,,,auto_event_rule+relation,0.94,他与高级GC&CS密码破译员第利温·诺克斯一起专注于对德国使用的恩尼格玛密码机进行密码分析,否
E0018,出生事件,生下,艾伦·图灵,,伦敦,,,他们希望艾伦在英国出生，所以回到伦敦，住在帕丁顿，并在那里,,,,auto_event_rule+relation,0.95,因为他们希望艾伦在英国出生，所以回到伦敦，住在帕丁顿，并在那里生下了艾伦,否
E0019,发表事件,写过,艾伦·图灵,,,《计算机器和智能》,,,,,,auto_event_rule,0.86,图灵对于人工智能的发展有诸多贡献，例如图灵曾写过一篇名为《计算机器和智能》的论文，提问“机器会思考吗,否
E0020,设计开发事件,改进,艾伦·图灵,,,恩尼格玛密码机,,,,,,auto_event_rule,0.85,图灵的方法更通用，使用基于恩尼格玛分析，他为此制作了炸弹的功能规范（对波兰炸弹的改进）,否
E0021,设计开发事件,设计,艾伦·图灵,,,恩尼格玛密码机,,,,,,auto_event_rule,0.85,期间他设计了一些加速破译德国密码的技术，包括改进波兰战前研制的机器Bombe，一种可以找到恩尼格玛密码机设置的机电机器,否
E0022,任职事件,负责,艾伦·图灵,二次世界大战期间,德国海军,德国海军,,,,,,auto_event_rule,0.92,二次世界大战期间，“Hut 8”小组，负责德国海军密码分析,否
